timestamp_us,raw
87250900,1897.0
87252899,1920.0
87254900,1913.0
87256900,1909.0
87258899,1901.0
87260900,1904.0
87262899,1910.0
87264900,1898.0
87266900,1899.0
87268900,1901.0
87270900,1909.0
87272900,1889.0
87274900,1892.0
87276900,1876.0
87278900,1899.0
87280899,1885.0
87282900,1902.0
87284900,1904.0
87286900,1899.0
87288900,1893.0
87290900,1895.0
87292899,1900.0
87294900,1891.0
87296899,1903.0
87298900,1901.0
87300900,1878.0
87302900,1904.0
87304900,1896.0
87306900,1903.0
87308899,1894.0
87310900,1907.0
87312900,1881.0
87314899,1909.0
87316900,1900.0
87318900,1898.0
87320900,1904.0
87322900,1897.0
87324900,1894.0
87326900,1891.0
87328899,1906.0
87330900,1901.0
87332900,1925.0
87334900,1904.0
87336900,1909.0
87338899,1915.0
87340900,1921.0
87342899,1918.0
87344900,1890.0
87346900,1909.0
87348900,1920.0
87350899,1911.0
87352900,1919.0
87354900,1917.0
87356900,1907.0
87358900,1912.0
87360900,1907.0
87362900,1915.0
87364900,1919.0
87366900,1901.0
87368900,1904.0
87370900,1904.0
87372900,1883.0
87374899,1888.0
87376900,1897.0
87378900,1891.0
87380900,1904.0
87382900,1896.0
87384900,1904.0
87386899,1904.0
87388900,1891.0
87390900,1902.0
87392899,1904.0
87394900,1908.0
87396900,1897.0
87398900,1895.0
87400900,1904.0
87402899,1903.0
87404900,1894.0
87406900,1898.0
87408900,1903.0
87410899,1904.0
87412900,1889.0
87414900,1904.0
87416899,1898.0
87418900,1904.0
87420900,1905.0
87422900,1904.0
87424900,1903.0
87426900,1898.0
87428900,1905.0
87430900,1907.0
87432900,1904.0
87434900,1918.0
87436900,1921.0
87438900,1917.0
87440900,1907.0
87442900,1925.0
87444900,1887.0
87446900,1917.0
87448900,1919.0
87450900,1924.0
87452900,1913.0
87454900,1910.0
87456900,1904.0
87458900,1914.0
87460900,1904.0
87462900,1910.0
87464900,1904.0
87466900,1904.0
87468900,1906.0
87470900,1903.0
87472900,1901.0
87474900,1904.0
87476900,1902.0
87478900,1898.0
87480900,1899.0
87482899,1899.0
87484900,1895.0
87486900,1898.0
87488900,1895.0
87490900,1887.0
87492900,1895.0
87494900,1899.0
87496900,1899.0
87498900,1902.0
87500900,1897.0
87502899,1910.0
87504900,1899.0
87506900,1888.0
87508900,1894.0
87510900,1903.0
87512900,1899.0
87514900,1906.0
87516900,1895.0
87518900,1903.0
87520900,1904.0
87522900,1909.0
87524900,1904.0
87526899,1899.0
87528900,1901.0
87530900,1903.0
87532900,1909.0
87534900,1905.0
87536900,1915.0
87538899,1919.0
87540900,1915.0
87542899,1911.0
87544900,1910.0
87546900,1915.0
87548900,1918.0
87550899,1906.0
